"id","name","region","size","climat","population","points","residential and adjacent spaces","street networks","green spaces","public and business infrastructure and adjacent spaces","social and leisure infrastructure and adjacent spaces","citywide space","img"
"32","Белая Холуница","Кировская область","Малый город","условно комфортный климат","10,1 тыс.чел.","148","25","25","25","20","18","35","https://api.индекс-городов.рф/uploads/city/emblem/3402/thumb_57_belaya_kholunitsa.gif"
"33","Верхоянск","Республика Саха (Якутия)","Малый город","тяжелые климатические условия","1,1 тыс.чел.","116","17","26","12","15","19","27","https://api.индекс-городов.рф/uploads/city/emblem/3457/thumb_112_verhoyansk.gif"
"34","Коммунар","Ленинградская область","Малый город","условно комфортный климат","22,2 тыс.чел.","176","38","41","29","24","11","33","https://api.индекс-городов.рф/uploads/city/emblem/3647/thumb_304_kommunar.png"
"35","Сосногорск","Республика Коми","Малый город","тяжелые климатические условия","26 тыс.чел.","171","34","29","24","21","28","35","https://api.индекс-городов.рф/uploads/city/emblem/3965/thumb_622_sosnogorsk.png"
"36","Гусев","Калининградская область","Малый город","условно комфортный климат","28,5 тыс.чел.","224","49","43","29","32","33","38","https://api.индекс-городов.рф/uploads/city/emblem/3504/thumb_159_gusev.png"
"37","Истра","Московская область","Малый город","условно комфортный климат","33,6 тыс.чел.","235","48","34","41","43","29","40","https://api.индекс-городов.рф/uploads/city/emblem/3585/thumb_241_istra.png"
"38","Кемерово","Кемеровская область","Крупный город","условно комфортный климат","556,4 тыс.чел.","181","30","28","28","21","38","36","https://api.индекс-городов.рф/uploads/city/emblem/4399/thumb_1057_Kemerovo.png"
"39","Ленинск","Волгоградская область","Малый город","условно комфортный климат","14,4 тыс.чел.","141","34","21","11","14","26","35","https://api.индекс-городов.рф/uploads/city/emblem/3707/thumb_364_leninsk.gif"
"40","Эртиль","Воронежская область","Малый город","условно комфортный климат","10,1 тыс.чел.","146","26","21","23","22","19","35","https://api.индекс-городов.рф/uploads/city/emblem/4098/thumb_756_ertil.png"
"41","Малмыж","Кировская область","Малый город","условно комфортный климат","7,2 тыс.чел.","168","29","31","26","27","19","36","https://api.индекс-городов.рф/uploads/city/emblem/3734/thumb_391_malmizh.png"
"42","Лобня","Московская область","Средний город","условно комфортный климат","90,2 тыс.чел.","226","40","39","31","43","33","40","https://api.индекс-городов.рф/uploads/city/emblem/4237/thumb_895_Lobnya.gif"
"43","Кирсанов","Тамбовская область","Малый город","условно комфортный климат","16,1 тыс.чел.","199","42","32","28","37","30","30","https://api.индекс-городов.рф/uploads/city/emblem/3635/thumb_292_Kirsanov.gif"
"44","Ульяновск","Ульяновская область","Крупный город","условно комфортный климат","627,7 тыс.чел.","184","42","27","22","27","29","37","https://api.индекс-городов.рф/uploads/city/emblem/4406/thumb_1064_Ulianovsk.png"
"45","Нижние Серги","Свердловская область","Малый город","условно комфортный климат","9 тыс.чел.","162","31","32","17","23","21","38","https://api.индекс-городов.рф/uploads/city/emblem/3791/thumb_448_nizhnie_sergi.png"
"46","Курлово","Владимирская область","Малый город","условно комфортный климат","5,7 тыс.чел.","137","24","25","24","17","18","29","https://api.индекс-городов.рф/uploads/city/emblem/3691/thumb_348_kurlovo.gif"
"47","Люберцы","Московская область","Большой город","условно комфортный климат","205,3 тыс.чел.","229","51","35","23","43","36","41","https://api.индекс-городов.рф/uploads/city/emblem/4329/thumb_987_Lyubertsy.png"
"48","Валдай","Новгородская область","Малый город","условно комфортный климат","14 тыс.чел.","204","33","37","39","37","29","29","https://api.индекс-городов.рф/uploads/city/emblem/3443/thumb_98_Valday.png"
"49","Струнино","Владимирская область","Малый город","условно комфортный климат","12,9 тыс.чел.","179","37","38","27","26","16","35","https://api.индекс-городов.рф/uploads/city/emblem/3981/thumb_638_strunino.png"
"50","Цимлянск","Ростовская область","Малый город","условно комфортный климат","14,4 тыс.чел.","179","48","32","21","27","16","35","https://api.индекс-городов.рф/uploads/city/emblem/4062/thumb_719_tsimlyans.gif"
"51","Новоаннинский","Волгоградская область","Малый город","условно комфортный климат","15,9 тыс.чел.","151","34","21","16","21","25","34","https://api.индекс-городов.рф/uploads/city/emblem/3803/thumb_460_novoanninski.gif"
"52","Сенгилей","Ульяновская область","Малый город","условно комфортный климат","6,2 тыс.чел.","174","32","33","21","28","19","41","https://api.индекс-городов.рф/uploads/city/emblem/3935/thumb_592_Sengiley.png"
"53","Серов","Свердловская область","Средний город","условно комфортный климат","95,9 тыс.чел.","178","32","39","18","19","32","38","https://api.индекс-городов.рф/uploads/city/emblem/4255/thumb_913_Serov.png"
"54","Калач-на-Дону","Волгоградская область","Малый город","условно комфортный климат","23,6 тыс.чел.","174","28","32","20","27","29","38","https://api.индекс-городов.рф/uploads/city/emblem/3588/thumb_244_Kalach-na-donu.png"
