"id","name","region","size","climat","population","points","residential and adjacent spaces","street networks","green spaces","public and business infrastructure and adjacent spaces","social and leisure infrastructure and adjacent spaces","citywide space","img"
"212","Кызыл","Республика Тыва","Большой город","условно комфортный климат","119,4 тыс.чел.","148","26","24","15","24","20","39","https://api.индекс-городов.рф/uploads/city/emblem/4287/thumb_945_Kyzyl.png"
"213","Сердобск","Пензенская область","Малый город","условно комфортный климат","30,9 тыс.чел.","167","44","24","15","19","28","37","https://api.индекс-городов.рф/uploads/city/emblem/3938/thumb_595_Serdobsk.png"
"214","Волжский","Волгоградская область","Крупный город","условно комфортный климат","323,9 тыс.чел.","181","43","34","19","21","35","29","https://api.индекс-городов.рф/uploads/city/emblem/4371/thumb_1029_Volzhskiy.png"
"215","Дедовск","Московская область","Малый город","условно комфортный климат","30,5 тыс.чел.","201","40","35","33","30","23","40","https://api.индекс-городов.рф/uploads/city/emblem/3513/thumb_168_dedovsk.gif"
"216","Старая Купавна","Московская область","Малый город","условно комфортный климат","24,2 тыс.чел.","214","42","30","33","43","29","37","https://api.индекс-городов.рф/uploads/city/emblem/3974/thumb_631_staraya_kupavna.png"
"217","Первоуральск","Свердловская область","Большой город","условно комфортный климат","120,8 тыс.чел.","179","35","36","22","20","30","36","https://api.индекс-городов.рф/uploads/city/emblem/4296/thumb_954_Pervouralsk.png"
"218","Тейково","Ивановская область","Малый город","условно комфортный климат","31,8 тыс.чел.","202","42","37","32","30","23","38","https://api.индекс-городов.рф/uploads/city/emblem/4008/thumb_665_Teykovo.gif"
"219","Нязепетровск","Челябинская область","Малый город","условно комфортный климат","11,4 тыс.чел.","161","32","31","24","24","23","27","https://api.индекс-городов.рф/uploads/city/emblem/3821/thumb_478_nyazepetrovsk.png"
"220","Арзамас","Нижегородская область","Большой город","условно комфортный климат","104 тыс.чел.","220","41","31","42","37","34","35","https://api.индекс-городов.рф/uploads/city/emblem/4268/thumb_926_Arzamas.png"
"221","Верхотурье","Свердловская область","Малый город","условно комфортный климат","8,6 тыс.чел.","177","31","35","21","33","22","35","https://api.индекс-городов.рф/uploads/city/emblem/3456/thumb_111_verhoturye.gif"
"222","Красавино","Вологодская область","Малый город","условно комфортный климат","5,9 тыс.чел.","159","29","30","32","18","20","30","https://api.индекс-городов.рф/uploads/city/emblem/3667/thumb_324_krasavino.jpg"
"223","Приморско-Ахтарск","Краснодарский край","Малый город","условно комфортный климат","32,3 тыс.чел.","158","28","28","25","13","29","35","https://api.индекс-городов.рф/uploads/city/emblem/3887/thumb_544_primorsko_akhtarsk.png"
"224","Николаевск","Волгоградская область","Малый город","условно комфортный климат","13,4 тыс.чел.","173","39","31","16","28","25","34","https://api.индекс-городов.рф/uploads/city/emblem/3795/thumb_452_nikolaevsk.png"
"225","Владивосток","Приморский край","Крупный город","условно комфортный климат","606,6 тыс.чел.","186","39","30","24","34","27","32","https://api.индекс-городов.рф/uploads/city/emblem/4403/thumb_1061_Vladivostok.png"
"226","Билибино","Чукотский автономный округ","Малый город","тяжелые климатические условия","5,5 тыс.чел.","153","30","33","20","17","22","31","https://api.индекс-городов.рф/uploads/city/emblem/3415/thumb_70_bilibino.png"
"227","Фокино","Брянская область","Малый город","условно комфортный климат","12,8 тыс.чел.","156","31","35","19","19","18","34","https://api.индекс-городов.рф/uploads/city/emblem/4050/thumb_707_fokino.gif"
"228","Кинешма","Ивановская область","Средний город","условно комфортный климат","81 тыс.чел.","185","43","28","19","30","31","34","https://api.индекс-городов.рф/uploads/city/emblem/4233/thumb_891_Kineshma.png"
"229","Спасск-Рязанский","Рязанская область","Малый город","условно комфортный климат","6,6 тыс.чел.","172","22","35","39","23","18","35","https://api.индекс-городов.рф/uploads/city/emblem/3970/thumb_627_spassk_ryazansky.png"
"230","Жирновск","Волгоградская область","Малый город","условно комфортный климат","15,5 тыс.чел.","174","40","32","19","27","28","28","https://api.индекс-городов.рф/uploads/city/emblem/3545/thumb_200_zhirnovsk.png"
"231","Чаплыгин","Липецкая область","Малый город","условно комфортный климат","11,8 тыс.чел.","180","42","33","21","28","25","31","https://api.индекс-городов.рф/uploads/city/emblem/4064/thumb_722_chaplygin.png"
"232","Куса","Челябинская область","Малый город","условно комфортный климат","16,7 тыс.чел.","177","40","27","32","21","23","34","https://api.индекс-городов.рф/uploads/city/emblem/3695/thumb_352_kusa.png"
"233","Абинск","Краснодарский край","Малый город","условно комфортный климат","39,1 тыс.чел.","149","29","21","18","24","23","34","https://api.индекс-городов.рф/uploads/city/emblem/3348/thumb_3_Abinsk.jpg"
"234","Гдов","Псковская область","Малый город","условно комфортный климат","3,3 тыс.чел.","189","21","35","43","37","22","31","https://api.индекс-городов.рф/uploads/city/emblem/3485/thumb_140_gdov.png"
"235","Амурск","Хабаровский край","Малый город","условно комфортный климат","38,9 тыс.чел.","178","42","30","31","14","25","36","https://api.индекс-городов.рф/uploads/city/emblem/3366/thumb_21_Amursk.png"
"236","Володарск","Нижегородская область","Малый город","условно комфортный климат","9,9 тыс.чел.","158","40","25","27","19","15","32","https://api.индекс-городов.рф/uploads/city/emblem/3464/thumb_119_volodarsk.png"
"237","Краснокамск","Пермский край","Средний город","условно комфортный климат","52,5 тыс.чел.","168","34","26","26","21","25","36","https://api.индекс-городов.рф/uploads/city/emblem/4137/thumb_795_krasnokamsk.png"
"238","Красноярск","Красноярский край","Крупнейший город","условно комфортный климат","1093,8 тыс.чел.","181","36","28","28","25","26","38","https://api.индекс-городов.рф/uploads/city/emblem/4417/thumb_1075_Krasnoyarsk.png"
"239","Малоархангельск","Орловская область","Малый город","условно комфортный климат","3,2 тыс.чел.","178","42","25","19","36","27","29","https://api.индекс-городов.рф/uploads/city/emblem/3735/thumb_392_maloarhangelsk.png"
"240","Лихославль","Тверская область","Малый город","условно комфортный климат","11,4 тыс.чел.","179","44","26","26","30","17","36","https://api.индекс-городов.рф/uploads/city/emblem/3714/thumb_371_likhoslavl.png"
"241","Мосальск","Калужская область","Малый город","условно комфортный климат","4,2 тыс.чел.","178","37","41","15","26","27","32","https://api.индекс-городов.рф/uploads/city/emblem/3767/thumb_424_mosalsk.png"
"242","Нальчик","Республика Кабардино-Балкария","Большой город","условно комфортный климат","239,6 тыс.чел.","208","36","41","28","33","34","36","https://api.индекс-городов.рф/uploads/city/emblem/4349/thumb_1007_Nalchik.png"
"243","Новокубанск","Краснодарский край","Малый город","условно комфортный климат","35,2 тыс.чел.","171","34","28","31","25","19","34","https://api.индекс-городов.рф/uploads/city/emblem/3807/thumb_464_novokubansk.png"
"244","Курган","Курганская область","Крупный город","условно комфортный климат","312,4 тыс.чел.","167","30","28","26","23","27","33","https://api.индекс-городов.рф/uploads/city/emblem/4370/thumb_1028_Kurgan.png"
"245","Ногинск","Московская область","Большой город","условно комфортный климат","104 тыс.чел.","214","41","26","37","39","34","37","https://api.индекс-городов.рф/uploads/city/emblem/4264/thumb_922_Noginsk.png"
"246","Орлов","Кировская область","Малый город","условно комфортный климат","6,4 тыс.чел.","176","22","27","39","30","18","40","https://api.индекс-городов.рф/uploads/city/emblem/3836/thumb_493_orlov.png"
"247","Ржев","Тверская область","Средний город","условно комфортный климат","57,5 тыс.чел.","163","34","29","23","25","24","28","https://api.индекс-городов.рф/uploads/city/emblem/4168/thumb_826_rzhev.png"
"248","Светлогорск","Калининградская область","Малый город","условно комфортный климат","15,2 тыс.чел.","209","41","47","38","25","23","35","https://api.индекс-городов.рф/uploads/city/emblem/3919/thumb_576_Svetlogorsk.gif"
"249","Карачаевск","Республика Карачаево-Черкесия","Малый город","условно комфортный климат","20,8 тыс.чел.","181","50","31","22","27","19","32","https://api.индекс-городов.рф/uploads/city/emblem/3606/thumb_262_Karachaevsk.png"
"250","Куртамыш","Курганская область","Малый город","условно комфортный климат","16,5 тыс.чел.","141","30","18","24","25","14","30","https://api.индекс-городов.рф/uploads/city/emblem/3693/thumb_350_kurtamysh.png"
"251","Могоча","Забайкальский край","Малый город","тяжелые климатические условия","13 тыс.чел.","151","22","34","35","11","18","31","https://api.индекс-городов.рф/uploads/city/emblem/3760/thumb_417_mogocha.png"
"252","Гурьевск","Калининградская область","Малый город","условно комфортный климат","19,3 тыс.чел.","180","42","44","21","25","22","26","https://api.индекс-городов.рф/uploads/city/emblem/3503/thumb_158_guryevsk.png"
"253","Тотьма","Вологодская область","Малый город","условно комфортный климат","9,7 тыс.чел.","180","29","32","20","37","28","34","https://api.индекс-городов.рф/uploads/city/emblem/4020/thumb_677_totma.png"
"254","Шумерля","Чувашская Республика","Малый город","условно комфортный климат","28,4 тыс.чел.","178","27","32","29","25","28","37","https://api.индекс-городов.рф/uploads/city/emblem/4091/thumb_749_shumerlya.png"
"255","Яранск","Кировская область","Малый город","условно комфортный климат","15,5 тыс.чел.","160","23","24","30","25","23","35","https://api.индекс-городов.рф/uploads/city/emblem/4110/thumb_768_yaransk.png"
"256","Пролетарск","Ростовская область","Малый город","условно комфортный климат","18,7 тыс.чел.","165","40","22","23","19","25","36","https://api.индекс-городов.рф/uploads/city/emblem/3889/thumb_546_proletarsk.png"
"257","Болотное","Новосибирская область","Малый город","условно комфортный климат","15,5 тыс.чел.","129","18","23","19","17","17","35","https://api.индекс-городов.рф/uploads/city/emblem/3431/thumb_86_bolotnoe.png"
"258","Кстово","Нижегородская область","Средний город","условно комфортный климат","67,8 тыс.чел.","194","39","30","45","23","23","34","https://api.индекс-городов.рф/uploads/city/emblem/4203/thumb_861_Kstovo.png"
"259","Михайловка","Волгоградская область","Средний город","условно комфортный климат","57,4 тыс.чел.","162","35","30","16","25","29","27","https://api.индекс-городов.рф/uploads/city/emblem/4157/thumb_815_Mikhaylovka.png"
"260","Пересвет","Московская область","Малый город","условно комфортный климат","13,4 тыс.чел.","229","46","41","26","42","29","45","https://api.индекс-городов.рф/uploads/city/emblem/3853/thumb_510_peresvet.gif"
"261","Котово","Волгоградская область","Малый город","условно комфортный климат","21,4 тыс.чел.","181","31","37","19","32","27","35","https://api.индекс-городов.рф/uploads/city/emblem/3664/thumb_321_kotovo.gif"
"262","Краснодар","Краснодарский край","Крупный город","условно комфортный климат","932,6 тыс.чел.","223","45","35","35","39","35","34","https://api.индекс-городов.рф/uploads/city/emblem/4413/thumb_1071_Krasnodar.png"
"263","Дубна","Московская область","Средний город","условно комфортный климат","75 тыс.чел.","204","43","35","26","31","32","37","https://api.индекс-городов.рф/uploads/city/emblem/4224/thumb_882_Dubna.png"
"264","Урень","Нижегородская область","Малый город","условно комфортный климат","12,3 тыс.чел.","166","29","29","21","29","23","35","https://api.индекс-городов.рф/uploads/city/emblem/4037/thumb_694_uren.png"
"265","Светлый","Калининградская область","Малый город","условно комфортный климат","21,6 тыс.чел.","197","45","42","26","27","25","32","https://api.индекс-городов.рф/uploads/city/emblem/3921/thumb_578_Svetly.png"
"266","Волжск","Республика Марий Эл","Средний город","условно комфортный климат","53,2 тыс.чел.","168","24","30","23","28","31","32","https://api.индекс-городов.рф/uploads/city/emblem/4140/thumb_798_voljsk.png"
"267","Минусинск","Красноярский край","Средний город","условно комфортный климат","67,9 тыс.чел.","160","28","27","12","31","28","34","https://api.индекс-городов.рф/uploads/city/emblem/4207/thumb_865_Minusinsk.png"
"268","Урай","Ханты-Мансийский автономный округ","Малый город","тяжелые климатические условия","40,5 тыс.чел.","180","27","33","31","20","34","35","https://api.индекс-городов.рф/uploads/city/emblem/4036/thumb_693_uraj.png"
"269","Палласовка","Волгоградская область","Малый город","условно комфортный климат","14,5 тыс.чел.","162","35","39","17","15","23","33","https://api.индекс-городов.рф/uploads/city/emblem/3848/thumb_505_pallasovka.png"
"270","Можайск","Московская область","Малый город","условно комфортный климат","30,1 тыс.чел.","226","38","34","37","44","37","36","https://api.индекс-городов.рф/uploads/city/emblem/3761/thumb_418_mozhaysk.png"
"271","Ладушкин","Калининградская область","Малый город","условно комфортный климат","3,9 тыс.чел.","166","31","40","33","14","17","31","https://api.индекс-городов.рф/uploads/city/emblem/3701/thumb_358_ladushkin.png"
"272","Топки","Кемеровская область","Малый город","условно комфортный климат","27,8 тыс.чел.","166","35","39","19","16","21","36","https://api.индекс-городов.рф/uploads/city/emblem/4016/thumb_673_topki.gif"
"273","Судак","Республика Крым","Малый город","условно комфортный климат","16,5 тыс.чел.","180","31","33","26","40","21","29","https://api.индекс-городов.рф/uploads/city/emblem/3983/thumb_640_sudak.png"
"274","Мещовск","Калужская область","Малый город","условно комфортный климат","3,8 тыс.чел.","154","31","36","21","23","20","23","https://api.индекс-городов.рф/uploads/city/emblem/3752/thumb_409_meschovsk.png"
"275","Мелеуз","Республика Башкортостан","Средний город","условно комфортный климат","56,7 тыс.чел.","180","44","33","19","25","28","31","https://api.индекс-городов.рф/uploads/city/emblem/4161/thumb_819_Meleuz.gif"
"276","Зима","Иркутская область","Малый город","условно комфортный климат","30,5 тыс.чел.","141","10","22","37","16","17","39","https://api.индекс-городов.рф/uploads/city/emblem/3568/thumb_224_zima.png"
"277","Чудово","Новгородская область","Малый город","условно комфортный климат","13,9 тыс.чел.","220","41","42","38","36","29","34","https://api.индекс-городов.рф/uploads/city/emblem/4075/thumb_733_chudovo.png"
"278","Петров Вал","Волгоградская область","Малый город","условно комфортный климат","12,4 тыс.чел.","163","27","38","32","19","24","23","None"
"279","Ростов-на-Дону","Ростовская область","Крупнейший город","условно комфортный климат","1137,9 тыс.чел.","200","32","26","24","31","43","44","https://api.индекс-городов.рф/uploads/city/emblem/4419/thumb_1077_Rostov_Na_Donu.png"
"280","Белгород","Белгородская область","Крупный город","условно комфортный климат","394,1 тыс.чел.","222","45","30","38","34","39","36","https://api.индекс-городов.рф/uploads/city/emblem/4379/thumb_1037_Belgorod.png"
"281","Биробиджан","Еврейская автономная область","Средний город","условно комфортный климат","71,8 тыс.чел.","164","29","28","30","17","27","33","https://api.индекс-городов.рф/uploads/city/emblem/4223/thumb_881_Birobidzhan.png"
"282","Котельниково","Волгоградская область","Малый город","условно комфортный климат","20,4 тыс.чел.","167","32","39","19","20","25","32","https://api.индекс-городов.рф/uploads/city/emblem/3662/thumb_319_kotelnikovo.png"
"283","Анадырь","Чукотский автономный округ","Малый город","тяжелые климатические условия","15,8 тыс.чел.","201","53","38","25","25","21","39","https://api.индекс-городов.рф/uploads/city/emblem/3367/thumb_22_Anadyr.png"
"284","Кисловодск","Ставропольский край","Большой город","условно комфортный климат","128,8 тыс.чел.","203","39","32","34","33","28","37","https://api.индекс-городов.рф/uploads/city/emblem/4302/thumb_960_Kislovodsk.png"
"285","Сольвычегодск","Архангельская область","Малый город","условно комфортный климат","1,9 тыс.чел.","157","18","34","14","29","27","35","https://api.индекс-городов.рф/uploads/city/emblem/3957/thumb_614_Solvychegodsk.png"
"286","Рыльск","Курская область","Малый город","условно комфортный климат","16 тыс.чел.","180","34","30","21","32","29","34","https://api.индекс-городов.рф/uploads/city/emblem/3910/thumb_567_Rilsk.png"
"287","Торжок","Тверская область","Малый город","условно комфортный климат","44,4 тыс.чел.","176","42","23","16","26","31","38","https://api.индекс-городов.рф/uploads/city/emblem/4017/thumb_674_torzhok.gif"
"288","Дмитров","Московская область","Средний город","условно комфортный климат","68,8 тыс.чел.","206","45","29","31","30","36","35","https://api.индекс-городов.рф/uploads/city/emblem/4201/thumb_859_Dmitrov.png"
"289","Лиски","Воронежская область","Средний город","условно комфортный климат","53,5 тыс.чел.","185","47","28","18","30","25","37","https://api.индекс-городов.рф/uploads/city/emblem/4138/thumb_796_liski.png"
"290","Алагир","Республика Северная Осетия - Алания","Малый город","условно комфортный климат","19,7 тыс.чел.","134","25","24","19","18","23","25","None"
"291","Губкинский","Ямало-Ненецкий автономный округ","Малый город","тяжелые климатические условия","29,2 тыс.чел.","192","30","34","16","33","33","46","https://api.индекс-городов.рф/uploads/city/emblem/3500/thumb_155_gubkinsky.png"
"292","Дигора","Республика Северная Осетия - Алания","Малый город","условно комфортный климат","10,1 тыс.чел.","163","30","32","28","13","26","34","None"
"293","Черепаново","Новосибирская область","Малый город","условно комфортный климат","19,1 тыс.чел.","153","21","25","33","19","19","36","https://api.индекс-городов.рф/uploads/city/emblem/4069/thumb_727_cherepanovo.png"
"294","Протвино","Московская область","Малый город","условно комфортный климат","35,4 тыс.чел.","222","50","42","30","28","32","40","https://api.индекс-городов.рф/uploads/city/emblem/3890/thumb_547_protvino.png"
"295","Чистополь","Республика Татарстан","Средний город","условно комфортный климат","59,4 тыс.чел.","191","33","30","21","37","30","40","https://api.индекс-городов.рф/uploads/city/emblem/4170/thumb_828_chistopol.gif"
"296","Бологое","Тверская область","Малый город","условно комфортный климат","20,5 тыс.чел.","174","37","23","24","23","28","39","https://api.индекс-городов.рф/uploads/city/emblem/3430/thumb_85_bologoe.gif"
"297","Каменск-Шахтинский","Ростовская область","Средний город","условно комфортный климат","87,8 тыс.чел.","177","35","30","31","16","30","35","https://api.индекс-городов.рф/uploads/city/emblem/4241/thumb_899_Kamensk-Shakhtinskiy.png"
"298","Чкаловск","Нижегородская область","Малый город","условно комфортный климат","11,3 тыс.чел.","189","38","28","42","31","26","24","https://api.индекс-городов.рф/uploads/city/emblem/4074/thumb_732_chkalovsk.gif"
"299","Светлоград","Ставропольский край","Малый город","условно комфортный климат","35,4 тыс.чел.","151","37","22","16","18","25","33","https://api.индекс-городов.рф/uploads/city/emblem/3920/thumb_577_Svetlograd.png"
"300","Ялуторовск","Тюменская область","Малый город","условно комфортный климат","40,3 тыс.чел.","180","29","25","29","27","33","37","https://api.индекс-городов.рф/uploads/city/emblem/4108/thumb_766_yalutorovsk.png"
"301","Владикавказ","Республика Северная Осетия - Алания","Крупный город","условно комфортный климат","303,6 тыс.чел.","200","46","29","37","20","32","36","https://api.индекс-городов.рф/uploads/city/emblem/4365/thumb_1023_Vladikavkaz.png"
"302","Ковылкино","Республика Мордовия","Малый город","условно комфортный климат","18,9 тыс.чел.","163","30","31","19","23","25","35","https://api.индекс-городов.рф/uploads/city/emblem/3638/thumb_295_Kovylkino.png"
"303","Красноармейск","Московская область","Малый город","условно комфортный климат","26,3 тыс.чел.","216","39","38","31","44","30","34","https://api.индекс-городов.рф/uploads/city/emblem/3669/thumb_326_krasnoarmeysk.png"
"304","Ставрополь","Ставропольский край","Крупный город","условно комфортный климат","450,7 тыс.чел.","208","48","35","25","26","37","37","https://api.индекс-городов.рф/uploads/city/emblem/4386/thumb_1044_Stavropol.png"
"305","Ленинск-Кузнецкий","Кемеровская область","Средний город","условно комфортный климат","94,4 тыс.чел.","150","23","27","24","15","32","29","https://api.индекс-городов.рф/uploads/city/emblem/4254/thumb_912_Leninsk-Kuznetskiy.png"
"306","Астрахань","Астраханская область","Крупный город","условно комфортный климат","529,8 тыс.чел.","181","34","26","14","39","32","36","https://api.индекс-городов.рф/uploads/city/emblem/4396/thumb_1054_Astrahan.png"
"307","Ирбит","Свердловская область","Малый город","условно комфортный климат","36,5 тыс.чел.","180","31","33","21","30","25","40","https://api.индекс-городов.рф/uploads/city/emblem/3583/thumb_239_Irbit.png"
"308","Горячий Ключ","Краснодарский край","Малый город","условно комфортный климат","40,3 тыс.чел.","179","43","28","29","32","24","23","https://api.индекс-городов.рф/uploads/city/emblem/3494/thumb_149_goryachy_klyuch.png"
"309","Красный Холм","Тверская область","Малый город","условно комфортный климат","5 тыс.чел.","171","33","33","21","28","19","37","https://api.индекс-городов.рф/uploads/city/emblem/3680/thumb_337_krasnii_holm.png"
"310","Городец","Нижегородская область","Малый город","условно комфортный климат","29,7 тыс.чел.","178","44","23","22","30","26","33","https://api.индекс-городов.рф/uploads/city/emblem/3490/thumb_145_gorodets.png"
"311","Ермолино","Калужская область","Малый город","условно комфортный климат","10,1 тыс.чел.","169","39","26","36","23","22","23","https://api.индекс-городов.рф/uploads/city/emblem/3538/thumb_193_ermolino.png"
"312","Морозовск","Ростовская область","Малый город","условно комфортный климат","24,6 тыс.чел.","143","38","21","15","14","22","33","https://api.индекс-городов.рф/uploads/city/emblem/3765/thumb_422_morozovsk.png"
"313","Нея","Костромская область","Малый город","условно комфортный климат","8,6 тыс.чел.","164","30","33","26","24","18","33","https://api.индекс-городов.рф/uploads/city/emblem/3789/thumb_446_neya.png"
"314","Тарко-Сале","Ямало-Ненецкий автономный округ","Малый город","тяжелые климатические условия","21,5 тыс.чел.","218","37","41","42","26","31","41","https://api.индекс-городов.рф/uploads/city/emblem/4003/thumb_660_Tarko-sale.png"
"315","Шенкурск","Архангельская область","Малый город","условно комфортный климат","4,7 тыс.чел.","148","17","25","16","39","23","28","https://api.индекс-городов.рф/uploads/city/emblem/4087/thumb_745_shenkursk.gif"
"316","Подпорожье","Ленинградская область","Малый город","условно комфортный климат","16,7 тыс.чел.","177","29","36","32","16","26","38","https://api.индекс-городов.рф/uploads/city/emblem/3870/thumb_527_podporozhye.gif"
"317","Чусовой","Пермский край","Малый город","условно комфортный климат","43,7 тыс.чел.","166","26","29","31","18","26","36","https://api.индекс-городов.рф/uploads/city/emblem/4077/thumb_735_chusovoy.gif"
"318","Железноводск","Ставропольский край","Малый город","условно комфортный климат","24,9 тыс.чел.","191","48","34","27","22","31","29","https://api.индекс-городов.рф/uploads/city/emblem/3541/thumb_196_zheleznovodsk.png"
"319","Нерехта","Костромская область","Малый город","условно комфортный климат","20,9 тыс.чел.","196","39","33","32","32","25","35","https://api.индекс-городов.рф/uploads/city/emblem/3784/thumb_441_nerehta.png"
"320","Таганрог","Ростовская область","Большой город","условно комфортный климат","248,6 тыс.чел.","222","47","35","32","39","34","35","https://api.индекс-городов.рф/uploads/city/emblem/4352/thumb_1010_taganrog.png"
"321","Богучар","Воронежская область","Малый город","условно комфортный климат","11 тыс.чел.","180","43","28","18","30","27","34","https://api.индекс-городов.рф/uploads/city/emblem/3426/thumb_81_boguchar.png"
"322","Котлас","Архангельская область","Средний город","условно комфортный климат","62 тыс.чел.","160","28","26","27","18","33","28","https://api.индекс-городов.рф/uploads/city/emblem/4172/thumb_830_Kotlas.png"
"323","Красноармейск","Саратовская область","Малый город","условно комфортный климат","22,3 тыс.чел.","170","26","34","19","25","28","38","https://api.индекс-городов.рф/uploads/city/emblem/3668/thumb_325_krasnoarmeysk.png"
"324","Барабинск","Новосибирская область","Малый город","условно комфортный климат","28,7 тыс.чел.","138","13","27","24","13","20","41","https://api.индекс-городов.рф/uploads/city/emblem/3397/thumb_52_barabinsk.png"
"325","Хабаровск","Хабаровский край","Крупный город","условно комфортный климат","616,4 тыс.чел.","191","35","32","26","25","39","34","https://api.индекс-городов.рф/uploads/city/emblem/4405/thumb_1063_Khabarovsk.png"
"326","Темников","Республика Мордовия","Малый город","условно комфортный климат","5,8 тыс.чел.","169","27","30","30","22","26","34","https://api.индекс-городов.рф/uploads/city/emblem/4009/thumb_666_Temnikov.png"
"327","Полевской","Свердловская область","Средний город","условно комфортный климат","61 тыс.чел.","174","32","33","20","23","27","39","https://api.индекс-городов.рф/uploads/city/emblem/4178/thumb_836_Polevskoy.png"
"328","Бийск","Алтайский край","Большой город","условно комфортный климат","199,5 тыс.чел.","173","33","33","28","17","24","38","https://api.индекс-городов.рф/uploads/city/emblem/4336/thumb_994_Biysk.gif"
"329","Кимры","Тверская область","Малый город","условно комфортный климат","43,2 тыс.чел.","177","35","29","26","29","24","34","https://api.индекс-городов.рф/uploads/city/emblem/3624/thumb_281_Kimri.png"
"330","Комсомольск-на-Амуре","Хабаровский край","Большой город","условно комфортный климат","244,8 тыс.чел.","176","34","32","26","14","35","35","https://api.индекс-городов.рф/uploads/city/emblem/4353/thumb_1011_komsomolsk-na-amure.png"
"331","Горно-Алтайск","Республика Алтай","Средний город","условно комфортный климат","64,5 тыс.чел.","175","43","27","22","18","29","36","https://api.индекс-городов.рф/uploads/city/emblem/4181/thumb_839_Gorno-Altaysk.gif"
"332","Суоярви","Республика Карелия","Малый город","условно комфортный климат","8,7 тыс.чел.","152","27","30","22","26","21","26","https://api.индекс-городов.рф/uploads/city/emblem/3987/thumb_644_suoyarvy.png"
"333","Волгодонск","Ростовская область","Большой город","условно комфортный климат","171,4 тыс.чел.","179","38","38","17","14","31","41","https://api.индекс-городов.рф/uploads/city/emblem/4323/thumb_981_Volgodonsk.png"
"334","Вяземский","Хабаровский край","Малый город","условно комфортный климат","13 тыс.чел.","150","30","21","32","10","23","34","https://api.индекс-городов.рф/uploads/city/emblem/3475/thumb_130_vyazemsky.gif"
"335","Липецк","Липецкая область","Крупный город","условно комфортный климат","508,6 тыс.чел.","210","45","34","36","28","37","30","https://api.индекс-городов.рф/uploads/city/emblem/4393/thumb_1051_Lipetsk.png"
"336","Каргополь","Архангельская область","Малый город","условно комфортный климат","10 тыс.чел.","148","21","20","28","30","19","30","https://api.индекс-городов.рф/uploads/city/emblem/3609/thumb_265_Kargopol.png"
"337","Мыски","Кемеровская область","Малый город","условно комфортный климат","40,8 тыс.чел.","173","36","32","23","21","27","34","https://api.индекс-городов.рф/uploads/city/emblem/3771/thumb_428_mysky.png"
"338","Плавск","Тульская область","Малый город","условно комфортный климат","15,7 тыс.чел.","192","43","38","34","21","25","31","https://api.индекс-городов.рф/uploads/city/emblem/3866/thumb_523_plavsk.gif"
"339","Южно-Сухокумск","Республика Дагестан","Малый город","условно комфортный климат","10,7 тыс.чел.","139","33","25","14","18","18","31","https://api.индекс-городов.рф/uploads/city/emblem/4101/thumb_759_yuzhno-sukhokumsk.gif"
"340","Алексин","Тульская область","Средний город","условно комфортный климат","57,5 тыс.чел.","193","35","37","40","21","27","33","https://api.индекс-городов.рф/uploads/city/emblem/4160/thumb_818_Aleksin.png"
"341","Боровичи","Новгородская область","Малый город","условно комфортный климат","49 тыс.чел.","180","32","32","27","35","30","24","https://api.индекс-городов.рф/uploads/city/emblem/4124/thumb_782_borovichi.png"
"342","Козельск","Калужская область","Малый город","условно комфортный климат","16,4 тыс.чел.","183","41","29","25","33","24","31","https://api.индекс-городов.рф/uploads/city/emblem/3640/thumb_297_Kozelsk.png"
"343","Стародуб","Брянская область","Малый город","условно комфортный климат","18,2 тыс.чел.","163","28","26","28","23","25","33","https://api.индекс-городов.рф/uploads/city/emblem/3977/thumb_634_starodub.png"
"344","Азов","Ростовская область","Средний город","условно комфортный климат","80,4 тыс.чел.","189","49","26","23","30","28","33","https://api.индекс-городов.рф/uploads/city/emblem/4453/thumb_1112_Azov.png"
"345","Электрогорск","Московская область","Малый город","условно комфортный климат","22,7 тыс.чел.","191","37","36","26","32","26","34","https://api.индекс-городов.рф/uploads/city/emblem/4096/thumb_754_elektrogorsk.gif"
"346","Грозный","Чеченская Республика","Крупный город","условно комфортный климат","305,9 тыс.чел.","225","42","33","44","26","39","41","https://api.индекс-городов.рф/uploads/city/emblem/4360/thumb_1018_Grozny.png"
"347","Багратионовск","Калининградская область","Малый город","условно комфортный климат","6,4 тыс.чел.","178","34","40","24","32","18","30","https://api.индекс-городов.рф/uploads/city/emblem/3388/thumb_43_bagrationovsk.gif"
"348","Павлово","Нижегородская область","Средний город","условно комфортный климат","56,7 тыс.чел.","197","35","29","40","31","30","32","https://api.индекс-городов.рф/uploads/city/emblem/4156/thumb_814_Pavlovo.png"
"349","Электросталь","Московская область","Большой город","условно комфортный климат","156 тыс.чел.","209","43","34","28","31","34","39","https://api.индекс-городов.рф/uploads/city/emblem/4318/thumb_976_Electrosteel.png"
"350","Артемовск","Красноярский край","Малый город","условно комфортный климат","1,6 тыс.чел.","138","25","26","30","10","17","30","https://api.индекс-городов.рф/uploads/city/emblem/3379/thumb_34_Artemovsk.png"
"351","Лысьва","Пермский край","Средний город","условно комфортный климат","60,3 тыс.чел.","166","28","25","29","23","28","33","https://api.индекс-городов.рф/uploads/city/emblem/4184/thumb_842_Lysva.png"
